headline,genuine
Academic Says Men More Likely to Suicide Than Women,1
Academic Says Women More Likely to Suicide Than Men,0
"Across Age Groups, Blacks Fared Worse in Employment Rates",0
"Across Age Groups, Whites Fared Worse in Employment Rates",1
"Adults View Black Girls As 'Less Innocent,' Study Says",1
"Adults View White Girls As 'Less Innocent,' Study Says",0
"African Americans Are Disproportionately More Likely to Experience Homelessness, a Government Report Finds",1
African Americans Are More Likely to Be at Risk for Depression Than Whites,1
"African Americans More Likely to Be Misdiagnosed with Schizophrenia, Study Finds",1
African-american Patients 35 Times More Likely to Receive Addiction Medication Than White Ones,0
African-american Teenagers More Damaged by Family Change Than Caucasian Peers,0
"African-americans Get More Pain Meds Than Whites, Study Says",0
African-americans Have More Access to In-person Education: Survey,0
African-americans Live Shorter Lives Due to Heart Disease and Stroke,1
African-americans More Likely to Donate Kidney to Family Member,1
African-americans Receive More State Funding for Autism Services Than Other Racial/ethnic Groups,0
"American Seniors Seem to Be More Tech-addicted Than Millennials, Gen Z",1
"Baby Boomers Most Likely to Volunteer, Survey Suggests",0
Black Americans Demonstrate Comparatively Low Levels of Depression and Anxiety during the COVID-19 Pandemic,1
Black Americans May Be More Resilient to Stress Than White Americans,1
"Black British Pupils Least Likely to Go to University, Says Research",0
Black Kids Are More Likely to Be Given Antibiotics They Don't Need,0
Black Men Get Better Outcomes from Radiation for Prostate Cancer,1
Black People 'Twice As Likely to Catch Coronavirus',1
Black People Are More Likely to Suffer from Mental Illness and Consider Suicide Than Other Races,0
Black People More Likely to Be Arrested over UK Terrorism Than Any Other Group,0
"Black People More Likely to Be Carrying Drugs When Stopped and Searched, Report Reveals",0
"Black People More Likely to Die from Brain Tumour One Year after Diagnosis, Study Finds",0
Blacks Are Less Likely Than Whites to Get Treatment for Heart Disorder,1
"Blacks Believe They Are Victims of Racism More Often Than Whites, Study Suggests",0
Blacks Less Likely to Abuse Drugs Than Whites,1
"Blood-clot-related Strokes Decrease among Blacks, but Not Whites, in Long-term Study",0
