treatment,trial,arm,advice,genuine,headline,original,expert_id,sentiment,expert:ethnicity,expert:sex,expert:age,outcome:white,outcome:black,outcome:male,outcome:female,outcome:young,outcome:old,trial_time
0,11,0,0.25,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,zfzmri3z,-1,White,Female,22,0,0,-1,1,0,0,0.969019066542387
0,11,0,0.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,4hpg0469,-1,White,Male,42,0,0,-1,1,0,0,0.7511998489499092
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,l428vq9v,-1,Black,Male,40,0,0,-1,1,0,0,1.05980196967721
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,tjq7dd91,-1,Asian,Male,38,0,0,-1,1,0,0,0.200415201485157
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,5zx1z3nl,-1,White,Male,68,0,0,-1,1,0,0,0.2466894201934337
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,2veikx4c,-1,Mixed,Female,41,0,0,-1,1,0,0,0.3833559155464172
0,11,0,0.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,bq2zj9c6,-1,White,Female,28,0,0,-1,1,0,0,0.4872452393174171
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,rqv81uen,-1,Black,Female,32,0,0,-1,1,0,0,0.3393170610070228
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,9lommt7y,-1,Black,Male,31,0,0,-1,1,0,0,0.5445297695696354
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,edo8n3ni,-1,White,Male,30,0,0,-1,1,0,0,0.5481707118451595
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,6ir5bsrm,-1,Black,Male,37,0,0,-1,1,0,0,0.9629192128777504
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,ecirahtn,-1,White,Female,29,0,0,-1,1,0,0,0.388396892696619
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,0ul0xd7m,-1,Other,Female,20,0,0,-1,1,0,0,0.4609723016619682
0,11,0,0.25,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,5xsvetrc,-1,White,Male,32,0,0,-1,1,0,0,0.3525212742388248
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,6auvqh45,-1,White,Female,29,0,0,-1,1,0,0,0.3808515667915344
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,v25hqly5,-1,White,Male,37,0,0,-1,1,0,0,0.8090748637914658
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,w5ttjh3s,-1,White,Female,39,0,0,-1,1,0,0,0.3400840014219284
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,kdgef2kw,-1,White,Male,38,0,0,-1,1,0,0,0.4288773350417614
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,uzsizr2e,-1,White,Female,23,0,0,-1,1,0,0,1.687919992953539
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,37wb3f4n,-1,Asian,Female,24,0,0,-1,1,0,0,0.3030753321945667
0,11,0,0.25,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,8ujt6lap,-1,White,Female,33,0,0,-1,1,0,0,1.0029069036245346
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,teiw4sy6,-1,White,Male,34,0,0,-1,1,0,0,0.2560259625315666
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,wtq6vc3o,-1,White,Female,24,0,0,-1,1,0,0,0.232907298952341
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,4u5snqn5,-1,White,Female,63,0,0,-1,1,0,0,0.3416382446885109
0,11,0,0.25,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,t7fnu8t6,-1,White,Female,72,0,0,-1,1,0,0,0.2796804383397102
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,ot6pqioe,-1,White,Female,30,0,0,-1,1,0,0,0.2056797035038471
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,jhd6ounn,-1,White,Male,49,0,0,-1,1,0,0,0.1238022521138191
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,h1fdcp1p,-1,Asian,Male,40,0,0,-1,1,0,0,0.1890112906694412
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,wz6hxrzj,-1,Asian,Female,51,0,0,-1,1,0,0,0.3816769495606422
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,kwpivalk,-1,Asian,Male,28,0,0,-1,1,0,0,0.2112808488309383
0,11,0,0.25,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,9me5yjpf,-1,White,Male,45,0,0,-1,1,0,0,0.4084234982728958
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,cwzsb0ol,-1,White,Male,40,0,0,-1,1,0,0,0.2608968056738376
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,lwv2du3v,-1,White,Female,23,0,0,-1,1,0,0,0.2616951838135719
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,gfidsadx,-1,White,Female,40,0,0,-1,1,0,0,0.1841911040246486
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,6a3ojgzl,-1,Mixed,Female,57,0,0,-1,1,0,0,0.6123051904141903
0,11,0,0.75,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,moztrz73,-1,Black,Female,54,0,0,-1,1,0,0,0.9547136463224888
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,i5slc3sd,-1,Asian,Male,52,0,0,-1,1,0,0,0.3704573847353458
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,xh7ued8w,-1,Black,Male,54,0,0,-1,1,0,0,0.4240685179829597
0,11,0,0.5,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,7ms26hvk,-1,White,Male,31,0,0,-1,1,0,0,2.174340631812811
0,11,0,1.0,1,Academic Says Men More Likely to Suicide Than Women,Academic Says Men More Likely to Suicide Than Women,1qaazqdz,-1,White,Male,28,0,0,-1,1,0,0,0.2315782457590103
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,j649xelo,-1,Other,Female,20,0,0,1,-1,0,0,0.3291035294532776
